flybase_gene_id	gene_name	chromosome	start	end	gene_length
FBgn0262510	CR43080	2L	454754	455313	501
FBgn0031257	CG4133	2L	455531	458745	2642
FBgn0031258	CG4297	2L	458876	472200	6869
FBgn0027592	MED15	2L	473013	476170	2592
FBgn0003963	ush	2L	476220	540560	6706
FBgn0043364	cbt	2L	476446	479688	3243
FBgn0010602	lwr	2L	540599	542580	1864
FBgn0031260	Spp	2L	542786	544653	1736
FBgn0005660	Ets21C	2L	544925	552923	5407
FBgn0031261	nAChRbeta3	2L	545129	547096	1532
FBgn0260933	rempA	2L	553742	560310	5772
FBgn0031263	Tspo	2L	559612	560523	853
FBgn0031264	uncNacbeta	2L	560568	563819	3252
FBgn0031265	CG2794	2L	564163	566472	2310
FBgn0021874	Nle	2L	566366	568121	1584
FBgn0031266	Sf3b1	2L	568340	572907	4346
FBgn0031267	Ipk2	2L	573033	574264	1232
FBgn0031268	cold	2L	574291	575734	1158
FBgn0013323	Ptth	2L	575711	576896	1128
FBgn0023489	Pph13	2L	577486	579549	1880
FBgn0010323	Gsc	2L	583540	594685	2584
FBgn0031270	CG13689	2L	602813	604430	1551
FBgn0284247	ds	2L	640013	714983	12427
FBgn0031275	GABA-B-R3	2L	749945	762399	7035
FBgn0031279	CG3544	2L	784336	788776	4359
FBgn0000442	Pkg21D	2L	786153	790798	2583
FBgn0051658	Nnf1b	2L	810577	811531	783
FBgn0086130	Dbp21E2	2L	811584	813380	1732
FBgn0031281	Saf6	2L	813314	815950	2416
FBgn0031282	Pex12	2L	815993	818096	2104
FBgn0031284	PGAP2	2L	818079	819508	1370
FBgn0015621	Clp	2L	819964	821209	1246
FBgn0031285	CG3662	2L	821289	824337	2982
FBgn0031286	CG3862	2L	824329	825861	1533
FBgn0010583	dock	2L	825969	833241	3735
FBgn0020304	drongo	2L	833584	851071	4423
FBgn0031287	CG4291	2L	851251	852730	1310
FBgn0020545	kraken	2L	852768	854539	1320
FBgn0031288	CG13949	2L	855337	856639	1183
FBgn0031289	CG13950	2L	860197	861806	1185
FBgn0029095	aru	2L	861849	868354	3445
FBgn0020305	dbe	2L	868673	869857	1185
FBgn0053526	PNUTS	2L	870465	877038	5428
FBgn0031292	CG15824	2L	877172	885141	7072
FBgn0002936	ninaA	2L	877302	878270	871
FBgn0002563	Lsp1beta	2L	898500	901316	2749
FBgn0028481	Tmtc2	2L	922793	958098	4160
FBgn0031294	IA-2	2L	1008378	1048053	10257
FBgn0031296	gNacalpha	2L	1037246	1038685	1395
FBgn0003310	S	2L	1049674	1077815	5206
FBgn0015905	ast	2L	1077948	1080803	2745
FBgn0031298	Atg4a	2L	1080911	1085380	4078
FBgn0031299	CG4629	2L	1083091	1102504	3115
FBgn0261938	PolrMT	2L	1103254	1108373	4718
FBgn0031301	CG14339	2L	1108540	1112694	3266
FBgn0031302	CG14340	2L	1112941	1114138	1030
FBgn0016926	Pino	2L	1114654	1128953	2497
FBgn0031304	TBC1D23	2L	1129316	1132411	2701
FBgn0031305	Iris	2L	1132332	1134098	1767
FBgn0031306	CG4577	2L	1134693	1141156	2707
FBgn0031307	MFS3	2L	1143201	1147395	2029
FBgn0283525	l(2)10685	2L	1147822	1149449	1628
FBgn0031309	Tfb4	2L	1149445	1150677	999
FBgn0031310	Vps29	2L	1150766	1151764	999
FBgn0261458	capt	2L	1151678	1158262	3233
FBgn0031312	Tango14	2L	1158661	1160220	1272
FBgn0031313	CG5080	2L	1160290	1163886	2617
FBgn0031314	IntS14	2L	1164443	1166425	1925
FBgn0031315	CG14341	2L	1166506	1167211	646
FBgn0024314	Plap	2L	1167172	1170365	2867
FBgn0051922	CG31922	2L	1170181	1170789	497
FBgn0031317	Charon	2L	1170753	1172805	1801
FBgn0031318	CG4887	2L	1173009	1177589	3424
FBgn0031319	CG4896	2L	1177690	1182454	3956
FBgn0031320	CG5126	2L	1182297	1184020	1667
FBgn0031321	Tgt	2L	1184065	1185698	1566
FBgn0031322	CG5001	2L	1185757	1196807	2096
FBgn0040723	CG5011	2L	1200671	1201220	550
FBgn0031327	CG5397	2L	1240036	1243018	2903
FBgn0041097	robo3	2L	1256417	1296596	7118
FBgn0053126	NLaz	2L	1359837	1361821	1149
FBgn0002543	robo2	2L	1380086	1420453	6206
FBgn0263321	CG43402	2L	1442627	1443832	1206
FBgn0031343	CG18131	2L	1498455	1500608	1828
FBgn0031344	CG7420	2L	1500784	1502904	1575
FBgn0261509	haf	2L	1555129	1609389	7054
FBgn0031347	nis	2L	1584866	1587155	2227
FBgn0051935	Rab3GAP1	2L	1594822	1611157	3058
FBgn0031351	CG14352	2L	1611410	1612576	1030
FBgn0021906	RFeSP	2L	1612429	1614160	1118
FBgn0086758	chinmo	2L	1651258	1704682	12618
FBgn0011570	cpb	2L	1704902	1706962	1926
FBgn0031356	CG17660	2L	1707132	1710421	2357
FBgn0031357	mRpL48	2L	1710462	1711465	790
FBgn0086698	frtz	2L	1711302	1715851	3601
FBgn0031359	Rim2	2L	1716244	1724388	2417
FBgn0000579	Eno	2L	1724768	1729636	3718
FBgn0260648	Rrp40	2L	1728732	1729762	1031
FBgn0031360	CG31937	2L	1729887	1731070	1184
FBgn0031361	CG17652	2L	1731033	1732356	1198
FBgn0264494	CG17646	2L	1732524	1750612	3552
FBgn0027597	CG17712	2L	1750687	1752122	1436
FBgn0031365	CG17650	2L	1758286	1759093	534
FBgn0045498	Gr22d	2L	1789141	1790361	1163
FBgn0051665	wry	2L	1836538	1858550	5666
FBgn0051663	CG31663	2L	1858609	1881480	3847
FBgn0031374	Wdr62	2L	1884622	1944289	11222
FBgn0267972	Der-1	2L	1973957	1975413	1243
FBgn0031377	CG15356	2L	1975463	1980755	4294
FBgn0031378	CG15362	2L	1981176	1982099	813
FBgn0031379	CG7289	2L	1982217	1984514	2130
FBgn0001125	Got2	2L	1984512	1987758	1734
FBgn0031381	Npc2a	2L	1988290	1988940	651
FBgn0043539	Obp22a	2L	1991381	1992160	727
FBgn0053543	CG33543	2L	1997102	2006313	2777
FBgn0040718	CG15353	2L	2006763	2007193	350
FBgn0031384	CG4238	2L	2009859	2030788	4668
FBgn0259192	CG42296	2L	2032519	2036041	3206
FBgn0003557	Su(dx)	2L	2037714	2044372	4798
FBgn0028952	Kebab	2L	2045494	2048054	2240
FBgn0026396	Or22c	2L	2054589	2057967	1209
FBgn0053516	dpr3	2L	2058790	2109878	3160
FBgn0031388	CG12674	2L	2079919	2081286	1219
FBgn0031389	CG4259	2L	2127309	2129237	1867
FBgn0004507	Glyp	2L	2130813	2137296	3144
FBgn0031390	tho2	2L	2137350	2145187	5404
FBgn0031391	CG11723	2L	2145297	2147275	1907
FBgn0027509	Tbcd	2L	2147518	2151664	3910
FBgn0031392	AIF	2L	2151754	2155389	2993
FBgn0031393	CG15382	2L	2155753	2156790	1038
FBgn0000097	aop	2L	2156484	2178754	5454
FBgn0031395	CG10874	2L	2189914	2192386	1586
FBgn0085201	COX7AL2	2L	2192525	2197912	943
FBgn0051668	CG31668	2L	2203721	2206166	1963
FBgn0053124	CG33124	2L	2206525	2209102	2094
FBgn0031397	CG15385	2L	2209574	2212571	2635
FBgn0010288	Uch	2L	2212738	2214211	1196
FBgn0085203	CG34174	2L	2214266	2215167	720
FBgn0031398	daed	2L	2214972	2216311	1285
FBgn0040715	CG15386	2L	2216503	2217246	691
FBgn0259717	CG42371	2L	2216503	2217246	691
FBgn0031399	mio	2L	2217290	2220625	2956
FBgn0031401	papi	2L	2220748	2225544	2692
FBgn0031403	CG15387	2L	2225545	2226294	693
FBgn0267378	sau	2L	2226342	2231099	2585
FBgn0262126	Sec24CD	2L	2231106	2236844	4827
FBgn0051682	Tengl1	2L	2239414	2240593	1108
FBgn0264979	CG4267	2L	2242378	2245274	2182
FBgn0031409	CG4271	2L	2285163	2285926	764
FBgn0031410	CG17237	2L	2288503	2289416	914
FBgn0051949	CG31949	2L	2300103	2300888	786
FBgn0031412	CG16995	2L	2307948	2308872	721
FBgn0031413	CG9967	2L	2308761	2357356	1783
FBgn0031414	eys	2L	2311680	2358944	8481
FBgn0014010	Rab5	2L	2359142	2365273	3146
FBgn0261647	Axud1	2L	2365345	2370137	4318
FBgn0031417	CG3597	2L	2370152	2371524	1229
FBgn0031418	CG3609	2L	2372455	2374627	1364
FBgn0031419	CG15390	2L	2374713	2375697	929
FBgn0031420	Atxn7	2L	2375841	2380506	4078
FBgn0264672	Eogt	2L	2381097	2383073	1869
FBgn0031422	PIG-Wa	2L	2383202	2384747	1493
FBgn0031423	CG3557	2L	2384761	2385792	977
FBgn0031424	VGlut	2L	2400295	2410662	5716
FBgn0031428	CG9886	2L	2420830	2424647	3762
FBgn0000490	dpp	2L	2428372	2459823	5214
FBgn0264978	Slh	2L	2488197	2492671	4220
FBgn0011818	oaf	2L	2492955	2498846	3223
FBgn0031432	Cyp309a1	2L	2562483	2564830	1997
FBgn0041337	Cyp309a2	2L	2564886	2573037	1844
FBgn0026778	Rad1	2L	2573436	2575052	1484
FBgn0085343	Sws1	2L	2573436	2575052	1484
FBgn0031434	insv	2L	2575280	2576997	1654
FBgn0031435	Elba2	2L	2577687	2579179	1493
FBgn0031436	ND-B17.2	2L	2579201	2580172	733
FBgn0031437	Arpc5	2L	2580292	2581423	1070
FBgn0026479	Drp1	2L	2581281	2585430	2868
FBgn0031449	CG31689	2L	2725674	2739830	3301
FBgn0031450	Hrs	2L	2739986	2743377	2820
FBgn0031451	CG9961	2L	2743375	2744934	1440
FBgn0031452	Cwc25	2L	2745098	2746944	1730
FBgn0250906	Pgk	2L	2746880	2753068	2112
FBgn0031453	Bacc	2L	2752445	2757975	2718
FBgn0031454	HemK2	2L	2758427	2759677	1251
FBgn0031455	Snapin	2L	2758427	2759677	1251
FBgn0031456	Tnpo-SR	2L	2759924	2763889	3586
FBgn0031457	Snx21	2L	2763416	2765665	2034
FBgn0031458	aph-1	2L	2766233	2767281	990
FBgn0026324	Taf10b	2L	2767286	2767845	560
FBgn0028398	Taf10	2L	2767890	2768612	664
FBgn0019830	colt	2L	2768590	2770069	1480
FBgn0031459	HINT1	2L	2770135	2770904	709
FBgn0031460	CG15399	2L	2770884	2771776	824
FBgn0004242	Syt1	2L	2772327	2799979	7190
FBgn0031461	daw	2L	2805261	2812376	3265
FBgn0031462	CG2964	2L	2812437	2814429	1930
FBgn0031463	G6P	2L	2814336	2815760	1194
FBgn0283531	Duox	2L	2815970	2830248	5336
FBgn0031467	Cpr23B	2L	2838411	2839547	1066
FBgn0031468	CG2975	2L	2840124	2842638	1884
FBgn0031469	CG18558	2L	2842589	2844513	1813
FBgn0031470	CG18557	2L	2844601	2845734	1073
FBgn0031471	CG3117	2L	2845926	2847212	1217
FBgn0031473	CG3104	2L	2848989	2855778	2799
FBgn0015521	RpS21	2L	2856070	2857029	842
FBgn0031474	CG2991	2L	2857164	2868548	3392
FBgn0051694	Ifrd1	2L	2868627	2874489	2639
FBgn0031476	CG8813	2L	2869652	2870649	998
FBgn0031478	CG8814	2L	2874890	2877168	1785
FBgn0031479	Prx6a	2L	2877091	2878232	861
FBgn0051950	Sbat	2L	2878344	2879001	658
FBgn0028970	RabGGTb	2L	2879112	2880708	1433
FBgn0024947	NTPase	2L	2880704	2885850	2802
FBgn0041111	lilli	2L	2885929	2954406	10614
FBgn0010263	Rbp9	2L	2954762	2968434	8054
FBgn0024920	Ts	2L	2968293	2969638	1346
FBgn0004584	Rrp1	2L	2969773	2972508	2551
FBgn0260639	gammaTub23C	2L	2972891	2974858	1850
FBgn0031483	CG9641	2L	2974859	2976862	1933
FBgn0031484	CG3165	2L	2977122	2978500	1323
FBgn0031485	CG9643	2L	2978411	2979288	878
FBgn0250786	Chd1	2L	2979562	2987723	6565
FBgn0025109	Bem46	2L	2988116	2990075	1710
FBgn0002989	okr	2L	2989594	2992759	2878
FBgn0025681	CG3558	2L	2992870	2998726	4333
FBgn0031488	Ccdc85	2L	2999286	3016069	3261
FBgn0031489	CG17224	2L	3016441	3018308	1577
FBgn0031490	CG17264	2L	3018508	3021506	2794
FBgn0031491	alpha4GT1	2L	3021309	3023141	1714
FBgn0031492	Prp40	2L	3023226	3026439	2906
FBgn0031493	Sf3b2	2L	3026252	3029168	2684
FBgn0031494	CG17219	2L	3029253	3030616	1253
FBgn0031495	GABPI	2L	3030539	3032300	1702
FBgn0031496	CG17258	2L	3032210	3035348	2863
FBgn0031497	SerRS	2L	3035493	3037403	1911
FBgn0031498	CG17260	2L	3037230	3038793	1425
FBgn0243513	cnir	2L	3038826	3039812	871
FBgn0031500	CG17221	2L	3039976	3041890	1709
FBgn0031501	CG17261	2L	3042551	3043593	869
FBgn0042627	FASN2	2L	3043947	3056143	8161
FBgn0283427	FASN1	2L	3056598	3068177	8744
FBgn0015600	toc	2L	3068345	3144786	11265
FBgn0031505	ND-B14.5B	2L	3144953	3145848	762
FBgn0011648	Mad	2L	3146056	3159643	3412
FBgn0260817	gkt	2L	3159950	3162399	2221
FBgn0051953	CR31953	2L	3162515	3163289	715
FBgn0014906	Hydr2	2L	3163645	3169462	2857
FBgn0264744	CG44002	2L	3169820	3171092	1273
FBgn0264745	CR44003	2L	3171035	3172799	1709
FBgn0085422	CG34393	2L	3175112	3200496	2982
FBgn0031513	CG3347	2L	3269437	3271806	2192
FBgn0031514	OtopLb	2L	3275800	3280534	2883
FBgn0031515	CG9664	2L	3291245	3294706	3135
FBgn0031516	CG9663	2L	3294926	3303130	3062
FBgn0031518	CG3277	2L	3304100	3317418	3475
FBgn0031517	CG15406	2L	3309222	3311682	1646
FBgn0031519	Fign	2L	3316794	3319872	2364
FBgn0020445	E23	2L	3334875	3354829	5149
FBgn0031526	CG8838	2L	3357646	3358618	973
FBgn0085423	GramD1B	2L	3358640	3373372	7122
FBgn0031528	CG15412	2L	3373567	3375711	1889
FBgn0031529	CG9662	2L	3375832	3376737	846
FBgn0016698	Ptpa	2L	3377002	3378590	1393
FBgn0031530	Pgant2	2L	3404460	3426719	3575
FBgn0031534	Snx1	2L	3449683	3452106	2028
FBgn0031535	CG12795	2L	3452466	3453755	1072
FBgn0031536	Cog3	2L	3453697	3457064	2973
FBgn0266670	Sec5	2L	3457302	3460367	2885
FBgn0031538	CG3246	2L	3460322	3461952	1511
FBgn0005616	msl-2	2L	3462218	3466112	3843
FBgn0021967	ND-PDSW	2L	3466157	3467334	738
FBgn0031540	Pif1	2L	3467342	3470004	2611
FBgn0051776	CG31776	2L	3470182	3472364	1964
FBgn0051956	Pgant4	2L	3472603	3475338	2543
FBgn0261560	Thor	2L	3478434	3479612	755
FBgn0031542	CG15414	2L	3480755	3491071	1402
FBgn0014396	tim	2L	3493986	3508119	7039
FBgn0284253	LeuRS	2L	3510328	3514656	3934
FBgn0031544	CG17593	2L	3514872	3517264	1832
FBgn0031545	CG3213	2L	3517273	3519651	2379
FBgn0031546	CG8851	2L	3519677	3522555	2547
FBgn0031547	Sr-CIV	2L	3522521	3524056	1390
FBgn0031548	CG8852	2L	3525131	3527588	2398
FBgn0031549	Spindly	2L	3527387	3530317	2543
FBgn0002985	odd	2L	3604224	3606756	2347
FBgn0015663	Ugt36A1	2L	3619097	3621573	2303
FBgn0031554	CG15418	2L	3621110	3621704	531
FBgn0000721	for	2L	3622074	3656953	6929
FBgn0262721	CG43165	2L	3694431	3695020	532
FBgn0031560	CG16713	2L	3695032	3695411	325
FBgn0031561	IM33	2L	3696218	3696658	381
FBgn0051778	CG31778	2L	3704106	3705488	1137
FBgn0051777	CG31777	2L	3706551	3707063	383
FBgn0015376	cutlet	2L	3707230	3711748	3236
FBgn0051955	CG31955	2L	3711881	3713105	1088
FBgn0031566	CG2818	2L	3713360	3716810	2896
FBgn0040104	lectin-24A	2L	3716800	3717773	974
FBgn0003386	Shaw	2L	3718185	3729145	5000
FBgn0031568	CG10019	2L	3730466	3754617	6532
FBgn0263846	CG43707	2L	3757256	3769525	8942
FBgn0004893	bowl	2L	3771700	3784121	4280
FBgn0031571	bark	2L	3787167	3802726	10223
FBgn0021800	Reph	2L	3803545	3810671	4890
FBgn0031573	CG3407	2L	3810801	3813410	2418
FBgn0031574	TTLL4B	2L	3862668	3867507	3758
FBgn0031575	Cep97	2L	3867697	3871425	2977
FBgn0051957	CG31957	2L	3871271	3872458	885
FBgn0000256	capu	2L	3872646	3902860	6240
FBgn0051774	fred	2L	3902928	3991713	7521
FBgn0051773	Fpgs2	2L	3911796	3914288	2493
FBgn0264341	CG43797	2L	4000018	4000806	789
FBgn0085205	CG34176	2L	4004080	4004480	401
FBgn0031579	CG15422	2L	4004984	4005670	687
FBgn0031580	CG15423	2L	4006041	4006606	566
FBgn0264295	CG43773	2L	4007690	4007984	295
FBgn0264296	CG43774	2L	4008653	4009090	438
FBgn0000547	ed	2L	4031377	4115749	6425
FBgn0020376	Sr-CIII	2L	4120343	4121627	1168
FBgn0014033	Sr-CI	2L	4121702	4124153	2202
FBgn0051961	Tbcc	2L	4186250	4187793	1477
FBgn0040102	lectin-24Db	2L	4188123	4189284	1162
FBgn0031589	Naprt	2L	4189340	4198071	3472
FBgn0001075	ft	2L	4198404	4221796	16852
FBgn0031590	CG3702	2L	4224650	4227097	2369
FBgn0003941	RpL40	2L	4227699	4228561	659
FBgn0265269	CG15425	2L	4257572	4258425	795
FBgn0010473	tutl	2L	4283148	4323781	9888
FBgn0028482	bdl	2L	4324554	4331830	2730
FBgn0020762	Atet	2L	4333913	4345776	5244
FBgn0026319	Traf4	2L	4361925	4380716	3225
FBgn0031597	CG17612	2L	4380722	4382735	1979
FBgn0031598	Vps53	2L	4382925	4386062	2960
FBgn0261976	Psf2	2L	4386182	4387356	868
FBgn0027560	Tps1	2L	4388327	4392778	2920
FBgn0031600	CG3652	2L	4392770	4393876	867
FBgn0022153	l(2)k05819	2L	4394196	4400487	5246
FBgn0031601	Dim1	2L	4403251	4403955	606
FBgn0031602	CG15431	2L	4403992	4441282	6408
FBgn0085206	CG34177	2L	4433908	4435057	882
FBgn0085207	CG34178	2L	4433908	4435057	940
FBgn0259958	Sfp24F	2L	4441429	4442060	578
FBgn0031603	CG15432	2L	4442320	4442985	634
FBgn0027609	morgue	2L	4442870	4444680	1749
FBgn0031604	Elp3	2L	4444732	4446765	1863
FBgn0025684	MFS18	2L	4446670	4448635	1846
FBgn0031606	CG15439	2L	4449295	4453038	3335
FBgn0031607	Secp43	2L	4453169	4454453	1224
FBgn0040705	ND-B8	2L	4454626	4455207	460
FBgn0019982	Gs1l	2L	4455137	4456807	1259
FBgn0285948	RpL27A	2L	4457186	4458364	633
FBgn0053002	mRpL27	2L	4458595	4459638	932
FBgn0031608	CG15435	2L	4459729	4461746	1948
FBgn0031609	CG15443	2L	4461657	4463447	1731
FBgn0031610	Paris	2L	4463611	4465075	1411
FBgn0031611	FIG4	2L	4465174	4468022	2729
FBgn0011603	ine	2L	4468000	4477022	3965
FBgn0053196	dpy	2L	4477462	4614300	71820
FBgn0031617	CG15635	2L	4642972	4646562	3532
FBgn0031620	CG11929	2L	4682677	4687232	3034
FBgn0031622	CG3251	2L	4688965	4690702	1685
FBgn0031623	Taf12L	2L	4700835	4701485	591
FBgn0031628	CG3294	2L	4794549	4796581	1541
FBgn0031630	CG15629	2L	4813009	4815891	1432
FBgn0031631	CG3225	2L	4815613	4818245	2387
FBgn0031632	CG15628	2L	4821774	4828945	3932
FBgn0031633	Fnta	2L	4829214	4830693	1352
FBgn0031634	Ir25a	2L	4830846	4835300	3587
FBgn0031635	tank	2L	4835335	4837999	2217
FBgn0031636	CG12194	2L	4838347	4841465	2326
FBgn0031637	mxt	2L	4841482	4847295	4096
FBgn0031638	CG11927	2L	4847766	4849499	1734
FBgn0031639	mRpS2	2L	4849439	4850419	924
FBgn0031640	Mon1	2L	4850641	4852640	1882
FBgn0051660	smog	2L	4852864	4876792	6121
FBgn0000286	Cf2	2L	4876891	4883107	4315
FBgn0031643	CG3008	2L	4883298	4885669	2263
FBgn0031644	CG15625	2L	4889995	4891277	1222
FBgn0267280	CR45716	2L	4891327	4891845	519
FBgn0031645	CG3036	2L	4892112	4903889	2731
FBgn0031646	snsl	2L	4903865	4906762	1294
FBgn0041150	hoe1	2L	4908581	4932384	4630
FBgn0031649	hoe2	2L	4933047	4936450	2888
FBgn0003372	Sgs1	2L	4937409	4941423	3950
FBgn0031650	synr	2L	4942742	4944305	1318
FBgn0031651	mRpL24	2L	4944256	4945361	875
FBgn0015000	betaggt-I	2L	4945579	4948324	1784
FBgn0031652	jet	2L	4948206	4949784	1453
FBgn0031655	Marcal1	2L	4955509	4958292	2411
FBgn0083960	CG34124	2L	4958411	4965430	6234
FBgn0083961	CG34125	2L	4965673	4966399	668
FBgn0015834	eIF3i	2L	4966367	4967775	1177
FBgn0262467	Scox	2L	4967832	4968935	1041
FBgn0031657	Polr1C	2L	4969004	4970216	1153
FBgn0010607	l(2)05714	2L	4970135	4973921	1285
FBgn0031659	CG14043	2L	4971702	4973687	1986
FBgn0031660	mRpL28	2L	4973976	4975316	1170
FBgn0031661	Gmd	2L	4975300	4977023	1561
FBgn0031662	CG3792	2L	4977312	4978567	1194
FBgn0031663	CG8891	2L	4978484	4979379	769
FBgn0031664	CG8892	2L	4979513	4981592	2080
FBgn0083962	CG34126	2L	4981614	4992702	6094
FBgn0053113	Rtnl1	2L	4992808	5009720	4841
FBgn0031668	CG31917	2L	5009931	5010834	846
FBgn0265968	Tfb5	2L	5009931	5010834	846
FBgn0031670	SelT	2L	5010922	5012127	1130
FBgn0016075	vkg	2L	5012144	5028191	6503
FBgn0000299	Col4a1	2L	5029609	5037279	6165
FBgn0260451	CG14042	2L	5037709	5040818	3042
FBgn0260470	SP555	2L	5037709	5040818	3042
FBgn0031673	CG31650	2L	5040648	5044712	2019
FBgn0053995	CG33995	2L	5043270	5048365	2691
FBgn0264742	CG44000	2L	5043270	5048365	2778
FBgn0264743	CG44001	2L	5043270	5048365	2778
FBgn0031675	CG9121	2L	5047818	5051062	2717
FBgn0022023	eIF3h	2L	5051193	5053094	1496
FBgn0031676	senju	2L	5052843	5054575	1605
FBgn0031677	CG14036	2L	5054579	5055016	438
FBgn0014857	His3.3A	2L	5055058	5056149	1002
FBgn0031678	Nepl3	2L	5055982	5058248	2267
FBgn0028694	Rpn11	2L	5058404	5059790	1208
FBgn0028572	qtc	2L	5060815	5070750	3566
FBgn0261608	RpL37A	2L	5070957	5072055	777
FBgn0031681	Pgant5	2L	5072170	5093592	4545
FBgn0031682	CG5828	2L	5093976	5095910	1935
FBgn0031683	CG4230	2L	5096227	5099294	2318
FBgn0031684	ND-13A	2L	5099177	5100288	953
FBgn0261836	Msp300	2L	5100877	5207002	69810
FBgn0031688	Cyp28d2	2L	5207267	5209345	1673
FBgn0031689	Cyp28d1	2L	5210460	5212445	1617
FBgn0031690	CG7742	2L	5212395	5215081	2194
FBgn0250847	CG14034	2L	5215189	5216542	1139
FBgn0031692	TpnC25D	2L	5216701	5219053	1250
FBgn0003716	tkv	2L	5219000	5271384	4433
FBgn0046776	CR14033	2L	5242699	5244239	1541
FBgn0031693	Cyp4ac1	2L	5264001	5265899	1666
FBgn0031694	Cyp4ac2	2L	5266392	5268455	1709
FBgn0031695	Cyp4ac3	2L	5268498	5270329	1606
FBgn0000228	Nin	2L	5271728	5278548	4953
FBgn0031696	Bub1	2L	5278865	5283283	4279
FBgn0016076	vri	2L	5288944	5311223	4739
FBgn0031697	CG14024	2L	5311311	5314895	2616
FBgn0031698	Ncoa6	2L	5315290	5326683	10041
FBgn0015031	cype	2L	5327227	5327969	522
FBgn0031700	CG14022	2L	5327975	5328879	652
FBgn0031702	fusl	2L	5330470	5338073	3231
FBgn0031703	Acsf2	2L	5339132	5342234	2054
FBgn0016920	nompC	2L	5346200	5365760	6886
FBgn0016660	H15	2L	5404280	5416593	3282
FBgn0261963	mid	2L	5461639	5467610	2920
FBgn0031707	CG14020	2L	5517737	5518949	1213
FBgn0031708	CG7382	2L	5518893	5519896	888
FBgn0000318	cl	2L	5520135	5521382	716
FBgn0031710	Vps52	2L	5521281	5523898	2168
FBgn0031711	Elp4	2L	5524139	5525809	1671
FBgn0051989	Cap-D3	2L	5525905	5535958	4049
FBgn0051648	Cox11	2L	5526957	5527854	898
FBgn0051915	CG31915	2L	5528123	5530682	2487
FBgn0031713	Coq6	2L	5530620	5532223	1604
FBgn0031715	tomb	2L	5535861	5536758	836
FBgn0014189	Hel25E	2L	5539326	5542314	2460
FBgn0002525	Lam	2L	5542480	5546642	3737
FBgn0031717	Oscillin	2L	5547086	5549614	2281
FBgn0031719	CG18269	2L	5551838	5552756	919
FBgn0031720	CG14013	2L	5552843	5553850	955
FBgn0004620	GluRIIA	2L	5555072	5558994	3253
FBgn0024191	sip1	2L	5721051	5723944	2780
FBgn0031736	CG11030	2L	5724656	5762420	4173
FBgn0031733	CG14006	2L	5726415	5728811	2397
FBgn0031734	CG11147	2L	5733675	5741244	3030
FBgn0031735	CG11029	2L	5746157	5747961	1805
FBgn0031737	obst-E	2L	5762553	5766142	1810
FBgn0031738	CG9171	2L	5767002	5800253	5434
FBgn0051913	CG31913	2L	5784031	5784893	863
FBgn0031739	CG14005	2L	5800517	5801975	1396
FBgn0031740	CG7239	2L	5802220	5804030	1752
FBgn0031741	CG11034	2L	5805395	5809063	2550
FBgn0031745	rau	2L	5859769	5879498	2268
FBgn0031747	CG9021	2L	5903178	5904689	1382
FBgn0043362	bchs	2L	5907169	5922776	12155
FBgn0031749	CG14000	2L	5908927	5910289	1363
FBgn0015381	dsf	2L	5925937	5939261	3537
FBgn0001128	Gpdh1	2L	5943643	5948968	3152
FBgn0031752	CG9044	2L	5949450	5955235	4425
FBgn0086265	psd	2L	5963087	5964951	1543
FBgn0031756	CG13992	2L	5965391	5967752	2313
FBgn0031757	Ucp4C	2L	5968566	5969761	1196
FBgn0031758	Ucp4B	2L	5969859	5971025	1167
FBgn0000308	chic	2L	5972115	5981018	2632
FBgn0001942	eIF4A	2L	5981764	5985909	2480
FBgn0001941	ifc	2L	5986348	5988854	2201
FBgn0031759	Kdm5	2L	5989400	5999501	7158
FBgn0031760	Tsp26A	2L	6000228	6003738	3030
FBgn0001089	Gal	2L	6003574	6006827	2345
FBgn0031762	CG9098	2L	6007364	6012338	3750
FBgn0031764	CG9107	2L	6022951	6024539	1534
FBgn0031765	CG9109	2L	6025870	6034423	1842
FBgn0025742	mtm	2L	6034731	6037015	2230
FBgn0000052	Pfas	2L	6041181	6046050	4434
FBgn0029161	slmo	2L	6046516	6048706	2191
FBgn0085208	CG34179	2L	6046651	6048706	2056
FBgn0031768	IPIP	2L	6048002	6050474	1842
FBgn0031769	CG9135	2L	6050800	6053877	2412
FBgn0031770	CG13995	2L	6054302	6060169	3379
FBgn0085209	CG34180	2L	6060510	6060938	376
FBgn0031771	ND-51	2L	6060842	6062757	1590
FBgn0031772	CG13994	2L	6062989	6063671	631
FBgn0031773	Fbw5	2L	6063562	6065953	2285
FBgn0031774	CG9147	2L	6065997	6067635	1498
FBgn0031775	CG9150	2L	6067668	6068594	870
FBgn0031776	Pfdn1	2L	6069079	6069838	595
FBgn0031777	CG9154	2L	6069790	6070686	787
FBgn0266449	Kr-h2	2L	6070990	6073961	1771
FBgn0266450	Kr-h1	2L	6082603	6096498	5306
FBgn0266445	CG45075	2L	6091412	6096498	4168
FBgn0031779	CG9175	2L	6096698	6098966	2078
FBgn0266521	stai	2L	6100377	6124653	3792
FBgn0051642	CG31642	2L	6118512	6120522	1950
FBgn0284255	Arpc4	2L	6125132	6125911	712
FBgn0031782	WDR79	2L	6125879	6127775	1724
FBgn0031784	CG9222	2L	6131023	6132484	1290
FBgn0040950	Muc26B	2L	6151969	6153701	1670
FBgn0031786	CG13989	2L	6160400	6161309	855
